SchoolDepartment,CourseTitle,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour
Engineering Leadership and Strategy,Generate Live Stream FB Keys for PCTV for SOTC,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,15-03-2019,19:49:00
Quality Assurance and Risk Management,Civic Handout Update,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Video Editing, Technical Documentation, Graphic Design, Proofreading and Quality Assurance",15-03-2019,19:51:00
Quality Assurance and Risk Management,Update 2020 Census Webpages/Rosters,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,19-03-2019,16:19:00
Academic Affairs and Staff Development,LinkedIn Learning employee video,kfoulstone0@instagram.com,Video Editing and Production,Fatima Zahra El Idrissi,Video Editing and Production,26-03-2019,22:07:00
Technical Communication and Media,Social Planning,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,16-04-2019,19:03:00
Technical Communication and Media,Social Planning,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,16-04-2019,19:04:00
Technical Communication and Media,Social Planning,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,16-04-2019,19:04:00
Technical Communication and Media,Social Planning,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,16-04-2019,19:05:00
Technical Communication and Media,Social Planning,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,16-04-2019,19:06:00
Technical Communication and Media,Social Planning,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,16-04-2019,19:06:00
Quality Assurance and Risk Management,April 23 Special Election at a Glance,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,16-04-2019,19:08:00
Quality Assurance and Risk Management,Update Branding Guidelines for Auditor's Office,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",16-04-2019,19:11:00
Quality Assurance and Risk Management,Edit WSACA Legislative Handout Insert,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Proofreading and Quality Assurance, Graphic Design",16-04-2019,19:12:00
Quality Assurance and Risk Management,Update 2020 Census Countdown Timer,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,16-04-2019,19:14:00
Quality Assurance and Risk Management,PRIA Local Event Invitation,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design, Proofreading and Quality Assurance",16-04-2019,19:17:00
Environmental and Civil Engineering,Chambers New Greens PCTV Video on Social,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,16-04-2019,19:24:00
Environmental and Civil Engineering,New Greens/Re-opening Announcement for Chambers Bay,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,16-04-2019,19:24:00
Quality Assurance and Risk Management,Spanish Language Day Video for Social,kfoulstone0@instagram.com,Video Editing and Production,Fatima Zahra El Idrissi,"Social Media Strategy, Video Editing and Production",17-04-2019,17:46:00
Quality Assurance and Risk Management,Social Planning,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,17-04-2019,17:52:00
Quality Assurance and Risk Management,Social Planning,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,17-04-2019,17:52:00
Quality Assurance and Risk Management,Social Planning,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,17-04-2019,17:53:00
Quality Assurance and Risk Management,Felony Convictions Voting Information Card,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",23-04-2019,15:15:00
Technical Communication and Media,Social Planning,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,23-04-2019,18:11:00
Quality Assurance and Risk Management,Social Planning,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,23-04-2019,18:12:00
Quality Assurance and Risk Management,Update Employee Newsletter,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Proofreading and Quality Assurance",29-04-2019,20:01:00
Quality Assurance and Risk Management,Update Letterhead,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",30-04-2019,19:26:00
Quality Assurance and Risk Management,Add New Pet License Agent to Website,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,30-04-2019,19:28:00
Quality Assurance and Risk Management,Point of Assistant Logo,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,30-04-2019,20:22:00
Financial Analysis and Management,Event Flyer for Meet and Greets,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",02-05-2019,18:43:00
Quality Assurance and Risk Management,"Rebrand ""Be a Pierce County Voter"" Logo Badges",kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Social Media Strategy, Website Programming, Graphic Design",02-05-2019,20:13:00
Quality Assurance and Risk Management,When a Loved One Dies Brochure - Edits and Prints,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",07-05-2019,16:09:00
Quality Assurance and Risk Management,Point of Assistance Training Material Graphics,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",07-05-2019,18:20:00
Academic Affairs and Staff Development,Flyer for Recruitment Efforts,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,08-05-2019,17:53:00
Quality Assurance and Risk Management,PRIA Local Materials,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Technical Documentation,13-05-2019,19:24:00
Technical Communication and Media,Analytics for Q1,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,13-05-2019,19:36:00
Technical Communication and Media,Social Planning,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,13-05-2019,19:38:00
Technical Communication and Media,Social Planning,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,13-05-2019,19:39:00
Quality Assurance and Risk Management,Social Planning,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,13-05-2019,19:39:00
Quality Assurance and Risk Management,Social Planning,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,13-05-2019,19:40:00
Quality Assurance and Risk Management,Social Planning,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,13-05-2019,19:41:00
Technical Communication and Media,Social Planning,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,13-05-2019,19:41:00
Governance and Policy Studies,Council Committee Priorities Brochure Design,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",13-05-2019,19:43:00
Quality Assurance and Risk Management,SWAG Reorder/New SWAG,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",16-05-2019,19:31:00
Quality Assurance and Risk Management,Design New Elections Apparel,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",16-05-2019,19:33:00
Quality Assurance and Risk Management,Rebrand All TV Screen Slides,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,16-05-2019,20:19:00
Quality Assurance and Risk Management,Lobby Wayfinding,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",16-05-2019,20:24:00
Quality Assurance and Risk Management,Updated Business Cards,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",23-05-2019,18:20:00
Engineering Leadership and Strategy,Printed/Cut Postcards,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Technical Documentation,31-05-2019,17:24:00
Engineering Leadership and Strategy,Boards & Commissions Website Updates,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,"Website Programming, Graphic Design, Proofreading and Quality Assurance",31-05-2019,17:26:00
Quality Assurance and Risk Management,Update Forms,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,31-05-2019,17:27:00
Quality Assurance and Risk Management,Recording Fee Increases,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,31-05-2019,17:41:00
Technical Communication and Media,2020 Census Banners,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Website Programming",31-05-2019,19:20:00
Academic Affairs and Staff Development,Design Outreach Displays,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",04-06-2019,15:26:00
Quality Assurance and Risk Management,GIS Theme Icons,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,05-06-2019,18:19:00
Quality Assurance and Risk Management,"Change ""When a Loved One Dies"" Brochure Photo",kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",07-06-2019,17:28:00
Quality Assurance and Risk Management,Ballot Transfer Parody Video,kfoulstone0@instagram.com,Video Editing and Production,Fatima Zahra El Idrissi,Video Editing and Production,11-06-2019,19:44:00
Academic Affairs and Staff Development,Design Web Banners for Job Posting,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,13-06-2019,18:45:00
Quality Assurance and Risk Management,Add Notice to Licensing Page,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,18-06-2019,14:41:00
Quality Assurance and Risk Management,Voting Rights Poster Updates,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",18-06-2019,15:25:00
Quality Assurance and Risk Management,Add Licensing Staffing Alert to Web,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,18-06-2019,19:43:00
Quality Assurance and Risk Management,Auditor's Office Contact Card,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",19-06-2019,19:58:00
Quality Assurance and Risk Management,Passport Checklist/Handout,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",01-07-2019,20:52:00
Quality Assurance and Risk Management,Small Drop Box Artwork,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",01-07-2019,20:57:00
Quality Assurance and Risk Management,Pawnbroker/Adult Entertainer Form Updates,kfoulstone0@instagram.com,Technical Writing,Fatima Zahra El Idrissi,"Technical Documentation, Website Programming, Graphic Design",01-07-2019,20:59:00
Quality Assurance and Risk Management,Pawnbroker/Adult Entertainer Form Updates,kfoulstone0@instagram.com,Technical Writing,Fatima Zahra El Idrissi,"Technical Documentation, Website Programming",01-07-2019,21:00:00
Safety Engineering and Crisis Management,Burn Ban Post on Social,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,01-07-2019,21:01:00
Safety Engineering and Crisis Management,Schedule Fireworks Posts,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,01-07-2019,21:02:00
Quality Assurance and Risk Management,Translated Felony Convictions Card,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,01-07-2019,21:04:00
Quality Assurance and Risk Management,POA Feeback Survey Postcards,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Video Editing, Graphic Design",02-07-2019,14:03:00
Quality Assurance and Risk Management,Turn Voters' Pamphlet into eBook for Website,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,02-07-2019,14:15:00
Quality Assurance and Risk Management,August 2019 Primary At-a-Glance,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",02-07-2019,14:21:00
Quality Assurance and Risk Management,General Election Envelope Designs - 2019,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",09-07-2019,14:29:00
Quality Assurance and Risk Management,Drop Box Moved Sign,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",12-07-2019,17:24:00
Quality Assurance and Risk Management,Internal Letterhead,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",15-07-2019,17:52:00
Quality Assurance and Risk Management,Backfile Project Chart,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",16-07-2019,15:33:00
Quality Assurance and Risk Management,Fees Poster Update,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",16-07-2019,16:48:00
Academic Affairs and Staff Development,HR4U Logo Design,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,18-07-2019,21:50:00
Quality Assurance and Risk Management,Cambodian/Vietnamese Voting in WA Video,kfoulstone0@instagram.com,Video Editing and Production,Fatima Zahra El Idrissi,Video Editing and Production,23-07-2019,16:43:00
Quality Assurance and Risk Management,Design Internal Newsletter for Strat Plan Updates,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,31-07-2019,18:31:00
Quality Assurance and Risk Management,Add Census Job to Website and Social,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,"Social Media Strategy, Website Programming",05-08-2019,17:12:00
Quality Assurance and Risk Management,POA Social Graphic and Text for Libraries,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,"Social Media Strategy, Graphic Design, Writing and Editing",05-08-2019,17:14:00
Quality Assurance and Risk Management,Media Advisory: Auditor seeks to appoint committee members for voters’ pamphlet,kfoulstone0@instagram.com,News Writing and Editing,Fatima Zahra El Idrissi,Proofreading and Quality Assurance,07-08-2019,17:32:00
Quality Assurance and Risk Management,Special three-day candidate filing period,kfoulstone0@instagram.com,News Writing and Editing,Fatima Zahra El Idrissi,"Proofreading and Quality Assurance, News and Media Communication",09-08-2019,17:10:00
Engineering Leadership and Strategy,Reformat/Design DEI PowerPoint,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,13-08-2019,14:34:00
Engineering Leadership and Strategy,Arts Commission Email Flyer,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,16-08-2019,18:47:00
Engineering Leadership and Strategy,Arts Commission Social Post and Graphic,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,"Social Media Strategy, Graphic Design",16-08-2019,18:48:00
Quality Assurance and Risk Management,Redo Census Website,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,"Graphic Design, Website Programming",21-08-2019,21:20:00
Technical Communication and Media,Create Aesthetic and Design Guidelines Manual for Social Media,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Social Media Strategy, Graphic Design, Technical Documentation, Video Editing",27-08-2019,19:25:00
Quality Assurance and Risk Management,Update Animal Control Door Hanger,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",28-08-2019,17:32:00
Safety Engineering and Crisis Management,Preparedness Continuum,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",03-09-2019,14:51:00
Quality Assurance and Risk Management,Jurisdiction of the Year - Ceiling Banner,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",03-09-2019,14:57:00
Quality Assurance and Risk Management,Re-brand Elections Address Labels,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",03-09-2019,15:01:00
Quality Assurance and Risk Management,Package Delivery Sign,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",03-09-2019,15:02:00
Quality Assurance and Risk Management,Voter Outreach Campaign #1 Planning,kfoulstone0@instagram.com,Strategic Planning and Project Management,Fatima Zahra El Idrissi,"Graphic Design, Proofreading and Quality Assurance, Public Relations, News and Media Communication, Writing and Editing, Video Editing and Production, Website Programming, Social Media Strategy, Public Outreach and Engagement, Video Editing, Technical Documentation",03-09-2019,15:06:00
Quality Assurance and Risk Management,Run SOS Election Ads on TV Tacoma/PCTV,kfoulstone0@instagram.com,Video Editing and Production,Fatima Zahra El Idrissi,Video Editing and Production,03-09-2019,15:08:00
Quality Assurance and Risk Management,Directional Signing for Tour,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",04-09-2019,14:43:00
Quality Assurance and Risk Management,General Election Insert Design Edits,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,09-09-2019,17:05:00
Safety Engineering and Crisis Management,2019 Shakeout Flyer,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",19-09-2019,15:49:00
Financial Analysis and Management,PEBB Information Sessions Banner,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,23-09-2019,17:50:00
Financial Analysis and Management,PEBB Information Session Banner,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,23-09-2019,17:51:00
Quality Assurance and Risk Management,Nov 5 General Election at a Glance,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,23-09-2019,17:52:00
Quality Assurance and Risk Management,Oct 14 Office Closure,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation, Social Media Strategy, Website Programming",23-09-2019,17:54:00
Quality Assurance and Risk Management,Turn Nov 5 General Election Pamphlets in Flip-books for Website,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,23-09-2019,17:55:00
Quality Assurance and Risk Management,Updated Business Cardsa,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,23-09-2019,18:22:00
Quality Assurance and Risk Management,PowerPoint Template,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,27-09-2019,16:04:00
Quality Assurance and Risk Management,POA - Bookmark,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,27-09-2019,16:05:00
Quality Assurance and Risk Management,Update Finance of Elections,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,27-09-2019,16:07:00
Quality Assurance and Risk Management,Military Benefits Brochure Updates,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design, Proofreading and Quality Assurance",01-10-2019,00:00:00
Quality Assurance and Risk Management,Updated Business Cards,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",01-10-2019,00:00:00
Social Impact Engineering,ACAC Proclamation Post,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,04-10-2019,00:00:00
Quality Assurance and Risk Management,Website RCW Addition,kfoulstone0@instagram.com,"Website Programming, Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Website Programming",07-10-2019,00:00:00
Quality Assurance and Risk Management,In-Service Day Closure Communications,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports), Social Media Strategy, Website Programming, Technical Writing",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design, Social Media Strategy, Video Editing and Production",07-10-2019,00:00:00
Ethics and Professional Conduct,Tacoma Pro Bono Night Award on Social,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,"Social Media Strategy, Writing and Editing",08-10-2019,00:00:00
Quality Assurance and Risk Management,Change Primary Language Text to actual Primary Language,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,08-10-2019,00:00:00
Quality Assurance and Risk Management,Content for Spec. Populations Census Webpages,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,08-10-2019,00:00:00
Quality Assurance and Risk Management,Add 15-minute Census Training Video to Website,kfoulstone0@instagram.com,"Video Editing and Production, Website Programming",Fatima Zahra El Idrissi,Website Programming,08-10-2019,00:00:00
Quality Assurance and Risk Management,African American Census Banners,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports), Social Media Strategy, Website Programming",Fatima Zahra El Idrissi,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation, Social Media Strategy, Website Programming",08-10-2019,00:00:00
Quality Assurance and Risk Management,Animal Subagent Website Updates,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,09-10-2019,00:00:00
Technical Communication and Media,Q3 Performance Measures for Social,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,10-10-2019,00:00:00
Quality Assurance and Risk Management,Convert Census Banners into Social Optimized Sizes,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports), Social Media Strategy",Fatima Zahra El Idrissi,Graphic Design,10-10-2019,00:00:00
Quality Assurance and Risk Management,Census Website Roster Edits,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,11-10-2019,00:00:00
Legal and Compliance Engineering,Therapeutic Court Program 25th Anniversary Social Post,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,11-10-2019,00:00:00
Urban Planning and Public Infrastructure,Promote PPW Graphic & Web Designer Position on Social,kfoulstone0@instagram.com,"Social Media Strategy, Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Social Media Strategy, Graphic Design",11-10-2019,00:00:00
Quality Assurance and Risk Management,Licensing In-Service Day PPT and Videos,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports), Video Editing and Production",Fatima Zahra El Idrissi,Video Editing and Production,11-10-2019,00:00:00
